Category,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025,1/1/2026,2/1/2026,3/1/2026,4/1/2026,5/1/2026,6/1/2026,7/1/2026,8/1/2026,9/1/2026,10/1/2026,11/1/2026,12/1/2026,1/1/2027,2/1/2027,3/1/2027,4/1/2027,5/1/2027,6/1/2027,7/1/2027,8/1/2027,9/1/2027,10/1/2027,11/1/2027,12/1/2027,1/1/2028,2/1/2028,3/1/2028,4/1/2028,5/1/2028,6/1/2028
CEL1 Staffing,14,14,14,14,14,14,14,14,13,13,13,12,12,13,13,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
CEL1 Cost/Month,276.199,290.00895,290.00895,290.00895,290.00895,290.00895,290.00895,290.00895,269.294025,269.294025,269.294025,248.5791,248.5791,282.7587263,282.7587263,307.2,307.2,326.4,326.4,326.4,326.4,326.4,326.4,326.4,326.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4,360.4,360.4,360.4,360.4,360.4,360.4,360.4,360.4,360.4
Canis Schedule Jun'25,LOI Start,,,M1,M2/HLD1,,,,M3/HLD2,,LSA,,LSB,,,LSC,,,LSD,,,,,,A0 BTO,,,A0 UU,,,,,,,B0 BTO,,,B0 UU,,,,,B0 PWS,,,
Canis HC Jun'25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5
Canis HC (-COGS),3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2
Canis $,59.1855,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,65.25201375,65.25201375,57.6,57.6,96,96,105.6,105.6,105.6,105.6,105.6,105.6,111.1,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,148.4,148.4,148.4,148.4,148.4,106,106,106,106
Canis Schedule Sep'25,LOI Start,,,M1,M2/HLD1,,,,M3/HLD2,,,,,,,LSA,,LSB,,,LSC,,,LSD,,,,A0 BTO,,,A0 UU,,,,,,,B0 BTO,,B0 UU,,,,,B0 PWS,
Canis HC Sep'25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6
Canis $,59.1855,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,62.144775,65.25201375,65.25201375,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,80.8,80.8,121.2,121.2,121.2,161.6,161.6,161.6,161.6,161.6,161.6,161.6,169.6,169.6,169.6,169.6,169.6,169.6,169.6,127.2,127.2
Viola Schedule,,,B0 BTO,,,,,,,,MP,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,,,,,,,,,,,,,,,
Viola HC,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,
Viola $,138.0995,145.004475,145.004475,145.004475,145.004475,145.004475,145.004475,103.574625,103.574625,103.574625,103.574625,103.574625,103.574625,108.7533563,108.7533563,96,96,96,96,76.8,76.8,76.8,76.8,76.8,76.8,80.8,80.8,80.8,80.8,80.8,80.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL HC Canis,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CEL HC Orion,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CEL HC Extend Viola,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,
Viola NEW COGS,7,7,7,7,7,7,7,5,5,8,8,8,8,8,8,8,8,8,8,12,12,15,15,15,15,15,15,15,15,15,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Murano Schedule,,,,,,,A0 BTO,,,A0 UU,,,,,,,,,,,,MP,,,,,,,,,,,,,,,,,,,,,,,,
Murano HC,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murano $,39.457,41.42985,41.42985,41.42985,41.42985,41.42985,41.42985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orion Schedule,LOI Start,,,M1,M2,,,,,,,,,,M3/HLD1,,,,,,,LSA,,LSB,,,LSC,,,LSD,,,A0 BTO,,,,A0 UU,,,,,,,B0 BTO,,
Orion HC,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Orion HC (-COGS),2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,4,5.5,5.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Orion $,39.457,41.42985,41.42985,41.42985,41.42985,41.42985,41.42985,20.714925,20.714925,20.714925,82.8597,82.8597,113.9320875,119.6286919,119.6286919,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,148.4,148.4,148.4,148.4,106,106,106,63.6,63.6
Seph Schedule,,,IP,COGS,COGS,COGS,COGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seph HC,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seph $,19.7285,20.714925,20.714925,20.714925,20.714925,20.714925,20.714925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OBR+ Schedule,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,,,,,,,,,,,,,,,
OBR+ HC,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,
OBR+ $,45.37555,47.6443275,47.6443275,47.6443275,47.6443275,47.6443275,47.6443275,47.6443275,47.6443275,47.6443275,47.6443275,47.6443275,47.6443275,50.02654388,50.02654388,44.16,44.16,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,40.4,40.4,40.4,40.4,40.4,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R&D Available HC,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&D $,39.457,41.42985,41.42985,41.42985,41.42985,41.42985,41.42985,41.42985,41.42985,41.42985,41.42985,41.42985,41.42985,43.5013425,43.5013425,38.4,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totals,19.3,19.3,19.3,19.3,19.3,19.3,19.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,16,16,17,17,17,17,17,17,17,18.5,18.5,18.5,18.5,18.5,12.5,14,14,14,14,14,14,14,14,14,14,12,12,12,12
Programs - CEL Team,5.3,5.3,5.3,5.3,5.3,5.3,5.3,-0.7,0.3,0.3,0.3,1.3,1.3,0.3,0.3,-2.7,-2.7,-1,-1,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,-4.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-5,-5,-5,-5
